brand,country,medium,headline,industry
IMIP,Brazil,Print,every imip greeting card is a gift to many people,"Culture, Recreation & Sport"
Petro-Canada,Canada,Print,proud to be the official fuel supplier of tennis canada,Industrial & Agricultural
Compassion In World Farming,United Kingdom,Outdoor,they cant ring the bell when they want to get off  stop live exports,Public interest & Non-profit
Multicines,Ecuador,Outdoor,all the stories behind one life,"Culture, Recreation & Sport"
British Airways,China,Print,its even better live advance ticket booking service for the hong kong arts festival,Transport & Tourism
,Netherlands,Print,when things get intimidating its intimidating you want,Professional & Public services
Snickers,Russia,TV & Cinema,dont stop,Food & Beverages
Museum MADRE of Contemporary Art,Italy,Print,damien hirst is in naples,"Culture, Recreation & Sport"
,South Korea,Print,tetris returns,Toys & Games
PSCOM,Brazil,Print,quit mewling and face it your hair is hard dont ignore racial discrimination denounce it international day for the elimination of racial discrimination 21 march,Electronics & Audio-Visual
Scoff & Banter,United Kingdom,Print,how very british wild game terrine with gin and cucumber relish on rye bread very british ridiculously walkable utterly scoff  banter,Food & Beverages
,China,Print,the people are the courier guards in the old days the word on the flag says trustworthy and reliable courier company  if you want to be nonstop kcr is a lot more dependable,Professional & Public services
Fage,United States,TV & Cinema,plain extraordinary,Food & Beverages
Don Limon,Germany,Print,the juiciest fruits,Food & Beverages
Balearia,United States,Print,there is no need to be good paradise on earth is only 99 away,Transport & Tourism
ESPN,Brazil,Print,brazilian soccer cup forget all you know about favoritism watch brazilian soccer cup best coverage on espn,Media & Publishing
Greenpeace,United Kingdom,Outdoor,im sorry we could have stopped catastrophic climate change we didnt copenhagen 2009 act now  change the future,Public interest & Non-profit
Jornal i,Portugal,Print,even serious news deserve a weekend,Media & Publishing
Nissan,France,Print,tough as always smarter than ever,Automotive & Services
Volkswagen,China,TV & Cinema,gold medal  in the 80s people in shanghai were excited about china winning the first olympic gold the car factory also manufactured the first civilian car in the same year specialists are examining cars researching for innovations this introduces the inheritance in terms of quality safety and inspections     vo 1984 is our glory as well since then we have always believed we are not only making a car but also dreams for chinese we are fastidious because people are behind every v,Automotive & Services
Reporters Without Borders - Reporters Sans Frontières (RSF),France,Print,no freedom of information no voice of opposition,Public interest & Non-profit
FirstBank,United States,Print,megan percy loan officer louisville branch less intimidating bankers less intimidating mortgages,Financial & Legal services
Agência Guadalupe,Brazil,Ambient & Interactive,1 tree 12 sheets,Public interest & Non-profit
,China,Print,dissolve into the world and get the natural beauty for the whole body,Pharmaceutical
Mitsubishi,Malaysia,Print,the silent wonder,Electronics & Audio-Visual
Lacoste,France,TV & Cinema,lesprit du polo lacoste dans une collection de parfums,Beauty & Health
Fifth Third Bank,United States,Print,free hope with purchase now every purchase has a purpose helping fund breakthrough cancer research,Financial & Legal services
Karmashock,United States,Print,thieves know better than to try,Electronics & Audio-Visual
Animax,Brazil,Print,after sushi and sashimi the most famous duo in japan,Media & Publishing
,China,Print,cool off from head to toe,Transport & Tourism
Metro Vancouver Crime Stoppers,Canada,Print,stand up against gun violence,Public interest & Non-profit
Downy,Argentina,Outdoor,dont let your washing machine make you uncomfortable,"House, Garden & Pets"
Frontline,Romania,TV & Cinema,get rid of his fleas,"House, Garden & Pets"
Inov8,United Kingdom,Print,perfectly stitched like you favourite scar,"Apparel, Clothing, Footwear & Accessories"
Matraş,Turkey,Print,noone else can create this attarction,"Apparel, Clothing, Footwear & Accessories"
McDonald's,India,Print,just opened near kimaya kothrud im lovin it,Food & Beverages
BMW,United States,Ambient & Interactive,you are invited to feel the joy of driving a bmw autobahn country club race track,Automotive & Services
,China,Print,the kowloon dairy farm milk has dha to enhance the growth of childrens brains,Food & Beverages
Parimatch,Russia,TV & Cinema,they fight  you win,"Culture, Recreation & Sport"
Parma,Guatemala,Print,todays kids need more nutrients provide them with parma,Food & Beverages
Vanity People,Italy,Print,vanity people the world of the stars will be your daily bread on styleit you can find vanity people the brand new vanity fair online channel vanity people is an open window on the celebrieties world you will find news curiosities exclusive footage and the well known vanity fair quality vanity people is the best place on the web if you want to know all the secrets about your favourite celebrity because when it comes to stars its good to know what others dont,Media & Publishing
Halter Bonbons,Switzerland,Print,makes everyones halloween sweeter,Food & Beverages
Water is Life,United States,Print,unlike most four year olds nkaitoles best memories may be in his rearview mirror these are memories that probably arent very great to start with considering where he lives in subsaharan africa—a place so remote its impossible for kids to grow up with the same fond memories of childhood that we do hed never sat behind the wheel of a gocart before today or even a regular car for that matter which means memories of sitting on his fathers lap driving the car down the road are something hell miss out on hell never have the memory of a family road trip fighting with his sister in the back of the van instead he will remember seeing her do manual labor at the age of five and hell never have the memory of his parents driving him to the local convenience store treating him to an icecold drink when hes thirsty what takes its place is the memory of him walking daily to the nearest watering hole to fetch water thats not even safe to drink thats the same water that kills one in five children before their fifth birthday so as you can imagine this gocart ride is bigger than just a gocart ride for nkaitole not just because its a positive memory for a change but because its one of the many things that make up his bucket list something no four year old should even have in the first place to make a change in the life of nkaitole and other children like him donate to waterislifecom,Public interest & Non-profit
,Brazil,Print,sports the newspaper that goes deeper,Media & Publishing
Pilao Coffee,Brazil,Print,keep sleep away,Food & Beverages
World Wildlife Fund (WWF),Turkey,Print,exploiting the ecosystem also threatens human lives for a living planet wwforg,Public interest & Non-profit
Volkswagen,Germany,Print,precision parking the passat with park assist,Automotive & Services
Red Bull,China,TV & Cinema,in the football match the goalkeeper saves a score the fans feel very disappointed suddenly the football field experiences earthquakelike pulses the ball slips from the goalkeepers hands and rolls to the goal actually the earthquake is caused by fans drinking the energy beverage at home and stamping their feet at the same timesuper release your potential,Food & Beverages
Arno,Brazil,Print,save your patterns,"House, Garden & Pets"
DHL,Chile,Print,thing get there you can stay,Transport & Tourism
,Argentina,Print,fun now kids later,Beauty & Health
Dominal,Ecuador,Print,pain can turn your life into a nightmare,Pharmaceutical
Volkswagen,Netherlands,TV & Cinema,the powerful new transporter,Automotive & Services
,China,Print,two ads that warn the drivers not to use mobile phone while driving caption hello  you are endangering your life if you use your mobile phone while driving,Public interest & Non-profit
Musical Pillow Spring,Colombia,Print,musical pillow spring,"House, Garden & Pets"
Land Rover,South Africa,Print,escape,Automotive & Services
Hell Pizza,New Zealand,Outdoor,for a limited time a bit like jesus,Food & Beverages
Shutterstock,Dominican Republic,Print,over 213 millions royalty free images to your rescue,Professional & Public services
Effen Vodka,United States,Print,everyone enjoys effen in the penthouse,Alcoholic drinks
Brand's,Thailand,Print,improve your brain,Pharmaceutical
Mitsubishi,Chile,Print,parking sensor outlander,Automotive & Services
,,Print,sweet outside nuts inside,Food & Beverages
,Canada,Print,your tips help us find illegal handguns,Public interest & Non-profit
Warsteiner,Germany,Outdoor,i want a 00 percent ,Alcoholic drinks
World Wildlife Fund (WWF),Spain,Print,rain forest cries out but the chainsaws dont let you hear it,Public interest & Non-profit
Corpore,Brazil,Print,run from yourself,"Culture, Recreation & Sport"
Toyota,United States,TV & Cinema,moving forward,Automotive & Services
Jeep,Brazil,Print,lucas was here,Automotive & Services
Kian Luthier,Brazil,Print,a sound of your own,"Apparel, Clothing, Footwear & Accessories"
Nelonen,Finland,Print,fix this kitchen jyrki sukula,Media & Publishing
Dollar Shave Club,United States,Print,boogies use it while you can,Beauty & Health
,United Arab Emirates,Print,the place where sport starts,Retail & Distribution
RICTV Record,Brazil,Print,when the podium is olympus gods rise in less than 10 seconds,Electronics & Audio-Visual
Mercedes-Benz,United Arab Emirates,Print,the new eclass with speed limit alert technology,Automotive & Services
Old Spice,United States,TV & Cinema,smellcome to manhood,"House, Garden & Pets"
Ray-Ban,Brazil,Print,if he says hell paint his glasses bubblegum you better be suspicious rayban turn on the colours,"Apparel, Clothing, Footwear & Accessories"
Sprite,Denmark,Ambient & Interactive,sprite zero – no sugar no bullt,Food & Beverages
,United States,Print,feast of san gennaro september 1020,Pharmaceutical
CWS,Germany,Print,play around with design the new paradiseline with design you can customise cws complete washroom solutions,"House, Garden & Pets"
The Salvation Army,Canada,Outdoor,with your donation a sense of dignity is within reach,Public interest & Non-profit
Death Penalty Message,Italy,TV & Cinema,the death penalty the only injustice that cant be put right,Public interest & Non-profit
,Brazil,Print,more cars less clean air,Public interest & Non-profit
Lucozade,China,Print,wakes up your brain and spirit,Food & Beverages
Petit Bateau,Italy,Print,kidproof clothes,"Apparel, Clothing, Footwear & Accessories"
Truly Nolen,Chile,Print,its our job,Professional & Public services
Getty Images,Chile,Print,what you need what you gonna need someday,Professional & Public services
,United States,Outdoor,for the banking insomniac,Financial & Legal services
Stride,United States,TV & Cinema,the ridiculously long lasting gum,"Apparel, Clothing, Footwear & Accessories"
Coffee Inn,Lithuania,Print,coffee is sacred,Food & Beverages
Dulcolax,Italy,Print,set it free,Pharmaceutical
Brooklyn Film Festival,United States,Print,bad times make great arts,"Culture, Recreation & Sport"
PlayStation,France,Print,we all want revenge for something,Electronics & Audio-Visual
The Tears Foundation,South Africa,Print,metoo – children also need to be heard,Public interest & Non-profit
Beneva Foundation,Slovakia,Print,the internet is a dangerous place dont let your children online with no supervision,Public interest & Non-profit
Road Safety,United States,Outdoor,the most dangerous part of your commute its road safety not rocket science,Public interest & Non-profit
Thai Health Promotion Foundation,Thailand,TV & Cinema,how well do you handle your drinking  think before you drink,Public interest & Non-profit
,Germany,Print,fruit flavored condoms,Beauty & Health
Depend,United States,Print,people know ive delivered 2397 babies and counting but no one needs to know about my condition and thanks to depend®  they dont,Beauty & Health
Gravity Anomaly,United States,Print,with its lifetime guarantee you wouldnt be caught dead in anything else,"Apparel, Clothing, Footwear & Accessories"
Doritos,United Kingdom,Print,eunice wants to make the next doritos tv ad  win £200k please win it before she does,Food & Beverages
Bodytech Gym,Brazil,Print,you gotta love the game be healthy,"Culture, Recreation & Sport"
Beyond Social Services,Singapore,Print,teen gangster sergeant teng lives can be rearranged when we care pledge your help today at beyondorgsg,Public interest & Non-profit
Corona,Spain,Print,drink responsibly,Alcoholic drinks
Antwerp Zoo,Belgium,Print,all of a sudden you have a garden the zoo annual pass,"Culture, Recreation & Sport"
Water IQ,United States,TV & Cinema,waste water waste money,Public interest & Non-profit
,Brazil,Print,turns any wood into a winner,"House, Garden & Pets"
,New Zealand,Print,when you lose a leg you dont just lose a leg help us win the fight for a complete ban on land mines,Public interest & Non-profit
AirAsia,Australia,Print,fly at low volume airasia quiet zone,Transport & Tourism
Lipitor,Finland,Print,for special patients lipitor,Pharmaceutical
Disco,Argentina,Print,theres always a disco close to you,Retail & Distribution
,,Print,come and enjoy nature before starting the sales training,Professional & Public services
Saridon,Venezuela,Print,even the hardest heads can feel pain 150 years science for a better life,Pharmaceutical
Yamaha,India,Print,open your heart to the touring spirit with yamaha fazer,Automotive & Services
Guthrie Bowron,New Zealand,Print,time to change the white house guthrie bowron the decorating specialists,Professional & Public services
Corega,Ukraine,Print,unbeatable hold,"House, Garden & Pets"
Amnesty International,Greece,Print,stop child recruitment,Public interest & Non-profit
,Estonia,Print,supreshopism no37 black and red bag,Retail & Distribution
Wizard,Brazil,Print,easy peasy,Education
,China,Print,easy to go anywhere,Professional & Public services
Sky Company Skydiving,Brazil,Print,leave your problems behind,Professional & Public services
adidas,China,Print,sui feifei  13 billion people,"Culture, Recreation & Sport"
Air France,France,Print,indulge in haute cuisine refined menus by french chefs,Transport & Tourism
Anchor,United Kingdom,Print,made by cows since 1886 anchor original butter co,Food & Beverages
Rolling Stone,Italy,Print,keep in mind the things you want to for the tyre check up theres the rolling stone diary,Media & Publishing
OneTwoTrip,Russia,Print,nothing stops you from travelling,Professional & Public services
La Republica,Uruguay,Print,life has unexpected turns follow it every day with la republicas new app,Media & Publishing
McDonald's,China,Print,i just love not to treat my parents as parents,Food & Beverages
,China,Print,give him water to make him improve immediately please donate who drinking water project,Public interest & Non-profit
Getty Images,Argentina,Print,the best and the worst photos,Professional & Public services
Vespa,Philippines,Print,be free vespa,Automotive & Services
Ariel,Poland,Ambient & Interactive,keep your laundry ultra clean,"House, Garden & Pets"
Gold's Gym,Saudi Arabia,Print,intensive weight loss program for brides to be,Professional & Public services
World Wildlife Fund (WWF),Singapore,Outdoor,its your turn,Public interest & Non-profit
Patit,India,Print,removes heat from sheesh kebabs and acidity from stomach,Pharmaceutical
Inlingua,Germany,Print,professional accent exterminators,Education
Alwaleed Philanthropies,Saudi Arabia,Cyber,reality is more brutal take a stand www1919life,Public interest & Non-profit
Greenpeace,Switzerland,Print,our oceans need more protection come on board wwwoceansgreenpeaceorg,Public interest & Non-profit
Improve Medical,China,Print,the air is so bad as staying in the pigsty wearing a mask before go out,"House, Garden & Pets"
ATAS,Turkey,Outdoor,industrial handcleaner,Industrial & Agricultural
Jeep,Thailand,Print,prove it only in a jeep,Automotive & Services
Toyota,United States,Print,everything is changing social and environmental consciousness will soon be second nature cities will produce more energy than they consume people will breathe cleaner air and give up nothing in exchange it all lies in the future but you can live it today the 2010 toyota camry…thats also a hybrid learn more at toyotacom,Automotive & Services
Escola Sao Paulo,Brazil,Print,learn to make blockbusters film courses escola sao paulo,Education
Fiat,Brazil,Print,fiat ducato now with much more cargo capacity,Automotive & Services
Cam,Italy,Print,looking at the world through childrens eyes,"Apparel, Clothing, Footwear & Accessories"
World Wildlife Fund (WWF),China,Print,dont let this be the end,Public interest & Non-profit
,United Kingdom,Print,for their sake wear a poppy,Public interest & Non-profit
Magistral,Mexico,Print,even an evil psychopath monkey would make a better roomate than you mute the complains of dirty dishes,"House, Garden & Pets"
Wet Ones,United States,Print,waitress actress heavy makeup horrific allergy waitress what a beautiful mess,"House, Garden & Pets"
Lego,Germany,Print,builders of tomorrow,Toys & Games
Sirius,Canada,Print,we 3 comedy,Media & Publishing
,China,Print,anesthetic  most suitable before the promotion announcement,Automotive & Services
Paws for the Cause,Canada,Print,why should cats get all the lives,"House, Garden & Pets"
Land Rover,United Kingdom,Print,the lions have been fed congratulations to the british  irish lions on their successful tour of australia,Automotive & Services
Eli's,Bolivia,Print,are you ready for unlimited pizza,Food & Beverages
Mizuno,Brazil,Print,choose your track,"Apparel, Clothing, Footwear & Accessories"
Dymatize,United States,Print,elite 12hour mrp will satisfy your muscles anytime anywhere with 42 grams of musclebuilding protein elite 12hour meal replacements are engineered to fuel muscles up to 12 hours whether taken as a meal or a snack loaded with vitamins and minerals each single serve pouch is packed with nitrogenproducing protein glutamine and branchchain amino acids bcaas propelling you beyond your limits with elite 12hour mrp anytime is takedown time,Food & Beverages
ARTE,France,Outdoor,season 2 starting 2 october,Media & Publishing
Greenpeace,South Africa,Print,white is the new green simply painting your roof white reflects the suns rays which helps cool down the environment in the fight against global warming one degree cooler in our cities equates to three degrees cooler at the poles which means a better chance of survival for animals like the arctic fox whose home is melting at a rapid rate,Public interest & Non-profit
Santa Casa de São Paulo,Brazil,Print,donate blood,Public interest & Non-profit
Depaul,France,Print,sometimes wed rather be treated like animals,Public interest & Non-profit
Underground Fitness,United States,Print,snatch snach an exercise in which a barbell is thrust from the floor to a position over the head in one explosive motion different results,"Culture, Recreation & Sport"
BMW,Portugal,Print,the new bmw 320 discover it everyday for €275month,Automotive & Services
Grupo Vhiver,Brazil,Print,my family left my because i have cancer what if we treated other sick people as we treat hiv positives,Public interest & Non-profit
,China,Print,life is like an iron barwhy not have a breakthroughor break,Alcoholic drinks
Hospital San Jose,Mexico,Print,become an organ donor,Beauty & Health
Western Union,Philippines,Print,fast reliable worldwide money transfer,Financial & Legal services
,Colombia,Ambient & Interactive,before  after,Beauty & Health
élogos.es,Spain,Print,the best way to break italian learn it at once,Education
International Music Institute,United Arab Emirates,Print,for tomorrows rock n rollers,Education
Libratone,Denmark,Print,choose how much of the world you let in or out with citymix  adjustable noise cancellation,Electronics & Audio-Visual
Interac,Canada,Print,dont get burned by credit fees,Financial & Legal services
Dreft,Brazil,Print,fashion always returns take care of your clothes,"House, Garden & Pets"
Save the Rhino,South Africa,Print,nothing we will ever bring them back,Public interest & Non-profit
City of Vancouver,,Print,people are fragile always stop at stop signs,Public interest & Non-profit
FirstBank,United States,Outdoor,for a better magazine experience get free checking and receive a kindle fire hd,Financial & Legal services
Laço Foundation,Portugal,Print,look at yours,Media & Publishing
Gaudia Wellness,Italy,Print,to do not spend a whole afternoon looking for a mobile,"Culture, Recreation & Sport"
,,Print,war games recruit your company for a game of paintball,"Culture, Recreation & Sport"
World Wildlife Fund (WWF),,Print,if the tree falls we all fall,Public interest & Non-profit
Mercedes-Benz,Canada,Ambient & Interactive,lose your keys,Automotive & Services
EDF (Electricite De France),France,Print,leaving a phone pluggedin takes up a lot more room than you think,Industrial & Agricultural
Polar Light,Venezuela,Print,extra refreshing,Food & Beverages
Fritz + Fraenzi,Switzerland,Print,what you share is shared forever your privacy in a digital world now at fritzundfraenzich,Media & Publishing
Lamborghini,Germany,Print,gearshifts can be as unforgiving as a professionally executed punch in the neck jan baedeker cassicdrivercom the new lamborghini aventador with 700hp the truth hurts,Automotive & Services
Pepsi,Russia,Print,wake up,Alcoholic drinks
G.K.Vale,India,Print,wheres the picture every 18000 of a second there is a picture happening are you fast enough,Professional & Public services
,Czech Republic,Print,impression by margareths pushup bras store,Retail & Distribution
Alis,Denmark,Print,less hate – more skate  alis skatewear – wear responsibly,"Apparel, Clothing, Footwear & Accessories"
One Young World,Switzerland,Print,if the leaders dont lead we must lead young thinkers of the world unite,Professional & Public services
Listerine,Brazil,Print,sometimes all you can do is smile,Beauty & Health
Guinness,United States,Print,only 125 calories,Alcoholic drinks
Batelco,Bahrain,Print,let it all out talk for free on friday,Electronics & Audio-Visual
,United Arab Emirates,Print,prepare to chill,Food & Beverages
China Environmental Protection Foundation,China,Outdoor,leave nature alone,Public interest & Non-profit
Toronto Humane Society,Canada,Print,the worlds first puppy subscription service,Public interest & Non-profit
Energizer,Argentina,Print,take your day everywhere 6 led headlight,Electronics & Audio-Visual
Becel,Turkey,Print,love your heart,Food & Beverages
Caltex,China,TV & Cinema,a car is shaking violently and when the door is opened theres a heavily built man laughing uncontrollaby because hes won the caltex lucky draw,Automotive & Services
Hacken,Ukraine,Cyber,invest in future inves in your side of firewall,Professional & Public services
91 Rock,Brazil,Print,understand your idols,Media & Publishing
The Art of Shaving,United States,Print,its ok to ask,Beauty & Health
Decaux,Israel,Print,the road is not a war zone slow down,Media & Publishing
World Wildlife Fund (WWF),Denmark,Print,what on earth are we doing to our planet,Public interest & Non-profit
Fiat,Brazil,Print,meeting at 10am dont read text messages while driving fiat linea with sms voice reader,Automotive & Services
Jameson,Brazil,Print,give me the keys its your hearing that is fuzzy not my speech dont say it and drive,Alcoholic drinks
Trienergy,Colombia,Print,we transform the energy,Industrial & Agricultural
Notícias do Dia,Brazil,Print,save lifes give blood,Public interest & Non-profit
Hindustan Hindi Newspaper,India,Print,its not just the student wholl feel proud pratibha samaan,Media & Publishing
Bella Dog,Romania,Print,bella dog grooming salon,"House, Garden & Pets"
Papyrus,United Kingdom,Print,social media status amazing  real life status suicidal  talk about suicide braveface,Public interest & Non-profit
Sainsbury's,,Cyber,the moments that make christmas special,Retail & Distribution
Xbox,New Zealand,Print,limbs will be lost,Toys & Games
Havas,United Kingdom,Print,went to  to mend his with vinegar and brown vinegar and brown paper are not sufficient to heal a fractured skull  an open fracture may require antibiotics to prevent an infection developing,Professional & Public services
Abraz-MG,Brazil,Print,it all started with aggressive outbursts followed by severe depression and a very strong desire to die since his sister was diagnosed roberto gets worse by the hour those with alzheimer are not the only ones who need help,Public interest & Non-profit
Pediatric Society,Brazil,Print,dont be a drunk head,Public interest & Non-profit
Pfizer,Finland,Print,it gets to look like this someone needs to blaze the trail,Pharmaceutical
Arche Warder,Germany,Print,the submarine pig dont belive it until youve seen it for yourself,"Culture, Recreation & Sport"
Mary Todd Hairdressing Co.,United States,Print,become man,Beauty & Health
SeanceRadio.com,France,Print,the online radio about cinema,Media & Publishing
Pepsi,France,TV & Cinema,pepsi max it,Food & Beverages
,China,Print,as long as there is someone you would like to see whether it is your old classmates your grandchild or your lover the kowloon motor bus can take you there,Professional & Public services
,Mexico,Print,blue dot the cops yellow dot a car just like yours red dot your car now every ford comes with lo jack stolen vehicle recovery systems,Automotive & Services
Huggies,Honduras,Print,crawls  break,"House, Garden & Pets"
,Italy,Ambient & Interactive,a dream you dont have to sweat for,Automotive & Services
Citi Towing,South Africa,Ambient & Interactive,you never know when youll need us save 011 805 1260 now,Professional & Public services
Chery,Guatemala,Print,it consumes less chery qq 800cc,Automotive & Services
,Germany,Print,fully loaded with caffeine,Food & Beverages
Geico,United States,TV & Cinema,15 minutes could save 15 in car insurance,Financial & Legal services
,New Zealand,Print,set your own speed record the indoor group cycling workout that inspires your inner athlete,Beauty & Health
Decaux,Lithuania,Outdoor,good things  comming soon,Professional & Public services
Drive Communication,Lebanon,TV & Cinema,if not for us do it for our children,Public interest & Non-profit
,Bahrain,Ambient & Interactive,speed limit 250kmh,"Culture, Recreation & Sport"
,United States,Print,the worlds biggest fish are caught on rapala,"Apparel, Clothing, Footwear & Accessories"
Penguin Books,Malaysia,Print,unputdownable,Media & Publishing
Surfrider Foundation,France,Print,the sea is becoming uninhabitable,Public interest & Non-profit
IKEA,China,TV & Cinema,a man was fitting out a table in the changing roomit implied that the price was so cheap that its the same as buying casual wear voice over well its so cheap and handy to buy lkea furniture why not have a fit out when you find something you like lkea,"House, Garden & Pets"
The Lasik Surgery Clinic,Philippines,Print,see life clearly faster safer,Professional & Public services
World Wildlife Fund (WWF),Brazil,Ambient & Interactive,in 2043 the sea will be this high what are you doing to avoid that,Public interest & Non-profit
World Food Programme,Honduras,Print,freeing them from malnutrition and poverty is in your hands,Public interest & Non-profit
,China,Print, 14 bottle the lrt is so convenient a few sips of your drink and youve arrived at the station,Professional & Public services
,France,Print,sexyavenuecom wishes you a happy valentines day official dealer of pleasure,"Culture, Recreation & Sport"
,China,Print, how many people die each year because of broken nail cervical cancer is deadly to all women shouldnt you pay more attention to it than just the appearance dont die because of your ignorance,Public interest & Non-profit
Mercury Energy,New Zealand,Print,fuel you drive for the price of a burger learn more about evs at mercuryconz,Professional & Public services
,China,Print,after playing 24 rounds of mahjong all through the night all you get is two black circles around your eyes refresh yourself with a can of eagles american ginseng tea,Food & Beverages
Nestea,Taiwan,TV & Cinema,a welldressed man with a bottle of tea beverage is on a train in taipei opposite him sits an old man dozing off after a sip on his drink the man finds a different landscape outside he takes another sip and finds the old man turning into an indian guru he drinks again and finds himself is even in darjeeling he gets off of the train and drinks in the exotic atmospherevo a trip of the tea of the world milk tea from darjeeling  discover the world for more taste super darjeeling station,Food & Beverages
McDonald's,Germany,Print,new the veggieburger,Food & Beverages
Bratislava Monarchs,Slovakia,Print,hot heads wanted,"Culture, Recreation & Sport"
Volkswagen,Germany,Print,whatever makes you brake gives you power break energy regeneration from volkswagen,Automotive & Services
,Turkey,Print,ormo wool fashion,"Apparel, Clothing, Footwear & Accessories"
Amnesty International,Malaysia,Print,write for freedom amnesty international wwwaimalaysiaorg,Public interest & Non-profit
Student Travel Bureau,Brazil,Print,travel please,Public interest & Non-profit
L'Etudiant,France,Print,id like too be a writter coz i love writting its a reel passion are you sure of the job you are going to choose letudiantfr youths got future,Media & Publishing
Mother's Choice,China,TV & Cinema,another role reversal to remind men of their responsibilityirresponsible sex act brings tragedy to the pregnant girlfriend and her family sonmomcan i borrow 5000 momwhat for sonii am momare you ok you scared me soni am pregnant momdont go away vois this the only way to make you understand how you hurt your partner superthink twice before you act,Public interest & Non-profit
,China,Print,smart chinese to english translation,Office equipment
Biomilk,Venezuela,Print,eliminates lactose intolerance,Pharmaceutical
Dorada,Spain,TV & Cinema,take care of your friends its your responsability,Alcoholic drinks
Metro,Spain,Print,daily information you should know,Media & Publishing
Meu Mundo,Brazil,Direct Market,a good trip is the best way to recharge the batteries,Transport & Tourism
Italie,Brazil,Print,the best french and italian food in one place,Food & Beverages
Pour les Nuls,France,Print,ich bin ein berliner  im a berliner je vous ai compris  i understand you,Media & Publishing
Umitkoy Balikcisi,Turkey,Print,for those seeing nothing but fish,Food & Beverages
UNICEF,Denmark,Outdoor,reach out to a child in need,Public interest & Non-profit
Itaipava,Brazil,Print,just think,Food & Beverages
Ohio Tool Racing Championships,United States,Print,a roller blade met a belt sander and one thing led to another… sparks will fly come see vehicles powered by creativity and power tools race in the fourth annual ohio tool racing championships,"Culture, Recreation & Sport"
,China,Print,to those old people who need us this is perhaps their most melodious of all music boxes,Professional & Public services
Land Rover,Germany,Print,annoying a land rover driver will get you nowhere,Automotive & Services
Nike,United States,Print,when the shoes get lighter the moves get tighter the nike zoom vapor carbon fly cleat go online to put multiple colors on your feet,"Apparel, Clothing, Footwear & Accessories"
Kendall Lubricants,Ecuador,Print,if you stop someones else stops too,Automotive & Services
Mount Sinai,United States,Print,every hospital will do everything it can but we can do things other hospitals cant mount sinai is doing things today that were unthinkable just yesterday like using novel combination therapies to achieve longlasting remissions in patients with multiple myeloma which hospital you choose can make all the difference in the world mountsinaiorg,Beauty & Health
Smart,Czech Republic,Print,go eco breathe cleaner,Industrial & Agricultural
Digicel,Ireland,Print,were all in digicel proud sponsor of west indies cricket,Electronics & Audio-Visual
Nova University,Portugal,Print,almost there cinema and television writing course,Education
,Singapore,TV & Cinema,have you ever been subjected to this kind of staring wherever you go when you take public transport or when you have lunch when you use the lift and when you walk in the playground being stared at and being discriminated for 20 seconds is already hard to bear imagine the feeling of those who are mentally retarded and patients who have recovered from a histoy of mental illness feel if they are stared lide this for the rest of their life put down your discrimination today,Public interest & Non-profit
,Netherlands,Ambient & Interactive,live more spaciously,Public interest & Non-profit
Kelvinator,India,Ambient & Interactive,this house is cooled by the coolest one,Electronics & Audio-Visual
Emergency,Italy,TV & Cinema,in 2012 there will still be over 30 wars over the world,Public interest & Non-profit
Our Earth Foundation,Poland,Outdoor,only man could create this,Public interest & Non-profit
SKY,Italy,Print,dow jones will rise in the next quarter when you have an opinion are you sure its yours,Media & Publishing
Happy Valentine,Nigeria,Print,happy valentine,Professional & Public services
Tintas Verginia,Brazil,Print,the wrong tone compromises the whole work if youre painting consult our experts,"House, Garden & Pets"
Mentos,Brazil,Print,hes not worth crying for do you want to sleep at my place mentos single pack selfishness without guilt mini mentos mint,Food & Beverages
,China,Print,put graffiti on public property and youve ruined your name,Public interest & Non-profit
,China,Print,i did not go to tokyo towerdisney world or try one of those traditional japanese disher but i tried the local fish balls in this alley ana holday lets you truly experience the city,Transport & Tourism
Santa Rita,Brazil,Print,very soon the expression dying of thirst will have a more literal sense water preserve until the last drop,Food & Beverages
360°,,Print,make your statement,Retail & Distribution
Amnesty International,New Zealand,TV & Cinema,become a freedom writer,Public interest & Non-profit
Tranquilidade,Portugal,Print,do you need a hunting insurance tranquilidade insurance,Financial & Legal services
Metro,Russia,Outdoor,freshness wholesale,Retail & Distribution
Ecovia,Brazil,Print,your vacations can have many destinations reckless driving has only one the best route is the one taken with safety,Transport & Tourism
Ecofill Ink Cartridges,Colombia,Print,what are cmk for if you dont have y,"House, Garden & Pets"
,China,TV & Cinema,antipollution   a child tells a story in a garbage landfill smoke emitted by factories car exhaust secondhand smoke and trash become weapons of destruction to the environment    vo death spell is about to come true devil is expanding his influence warriors are killing and firing day and night humanity is facing the severest test with a number of major changes in sight work for a clean environment change the history   super work for a clean environment change the history,Public interest & Non-profit
Algozone,Romania,Print,no room for pain,Pharmaceutical
Cedro Textil,Brazil,Print,less water more color ecofriendly fabric dyeing,"House, Garden & Pets"
BYD,Uruguay,Print,foldable buddy take him anytime you want the byd s6 now comes with a third row of independent foldable seats,Automotive & Services
Clenzo,India,Print,unwashed hands can be fatal,Pharmaceutical
Hearing Plus,India,Print,miss the sound lose the story,Beauty & Health
Canal+,France,TV & Cinema,films to good to keep to yourself,Media & Publishing
Beeline,Kazakhstan,TV & Cinema,we put down the prices to the very bottom,Professional & Public services
Marques Avenue,France,Outdoor,great brands great reductions all year long,Retail & Distribution
